Title,Date,Venue/Journal,Authors,Key word list
An Opportunistic Music Sharing System Based on Mobility Prediction and Preference Learning,2014,Ubiquitous Intelligence and Computing,"Fei Yi, Zhiwen Yu, Hui Wang, Bin Guo, Xingshe Zhou","['Preference learning', 'Global Positioning System', 'File sharing']"
Prediction of charge mobility in organic semiconductors with consideration of the grain-size effect,2016,Arxiv,"Jin Woo Park, Kyu Il Lee, Youn-Suk Choi, Jung-Hwa Kim, Daun Jeong","['Samsung', 'Periodic boundary conditions', 'Organic semiconductor']"
Correction to â€œSublimation Entropy and Dissociation Constants Prediction by Quantitative Evaluation of Molecular Mobility in Crystalsâ€ù,2018,Journal of Physical Chemistry Letters,"Sergiy O. Garbuzynskiy, Alexei V. Finkelstein","['Sublimation (phase transition)', 'Photochemistry', 'Dissociation constant']"
An Optimized Proactive Caching Scheme Based on Mobility Prediction for Vehicular Networks,2018,Global Communications Conference,"Hakima Khelifi1, Senlin Luo1, Boubakr Nour1, Akrem Sellami2, Hassine Moungla2","['1Beijing Institute of Technology,', '2University of Paris', 'Vehicular ad hoc network']"
Prediction of life-space mobility in patients with stroke 2 months after discharge from rehabilitation: a retrospective cohort study,2019,Disability and Rehabilitation,"Mari Nakao1, Shinichi Izumi1, Yuki Yokoshima2, Yoshiko Matsuba2, Yutaka Maeno2","['2Rehabilitation Department, Yokohama Brain and Spine Center, Yokohama, Japan', 'Stroke', 'Retrospective cohort study']"
Enhanced Stochastic Mobility Prediction on Unstructured Terrain Using Multi-output Gaussian Processes,2016,Arxiv,"Sin Ting Lui1, Thierry Peynot1, 2, Robert Fitch1, Salah Sukkarieh1","['2Queensland University of Technology', 'Traverse', 'Terrain']"
Analysis and Prediction of Spatiotemporal Impact of Traffic Incidents for Better Mobility and Safety inTransportation Systems,2015,Arxiv,"Cyrus Shahabi, Ugur Demiryurek","[""Traffic congestion reconstruction with Kerner's three-phase theory"", 'Traffic conflict', '+7']"
A survey of evaluation methods for personal route and destination prediction from mobility traces,2018,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,"Roelant A. Stegmann1, IndrÄ— Å_liobaitÄ—1, 2, Tuukka Tolvanen1, Jaakko HollmÃ©n1, Jesse Read3","['2University of Helsinki,', '3Ã‰cole Polytechnique', 'Data mining']"
Predictability and Prediction of Human Mobility Based on Application-Collected Location Data,2017,Mobile Adhoc and Sensor Systems,"Sihan Zeng, Huandong Wang, Yong Li, Depeng Jin","['Trajectory', 'Predictability', 'Missing data']"
Mobility Prediction Based on POI-Clustered Data,2018,International Conference on Machine Learning,"Haoyuan Chen1, Yali Fan1, Jing Jiang1, Xiang Chen1, 2","['2Tsinghua University', 'Service provider', 'Recommender system']"
User mobility prediction based on Lagrange's interpolation in ultra-dense networks,2016,Arxiv,"Li Bangxu, Zhang Hongtao, Lu Haitao","['Interpolation', 'Engineering', '+1']"
Metabolic syndrome and prediction of mobility decline in older persons. Authors' reply,2007,Journal of the American Geriatrics Society,"Huai Yong Cheng, Dan G. Blazer, Celia F. Hybels, Gerda G. Fillenbaum","['Metabolic syndrome', 'Medicine', '+1']"
OHMP-CAC: Optimized handoff scheme based on Mobility Prediction and QoS constraints for femtocell networks,2016,International Conference on Wireless Communications and Mobile Computing,"Ahlam Ben Cheikh1, Mouna Ayari1, Rami Langar2, Leila Azouz Saidane1","['2University of Paris', 'Real-time computing', 'Quality of service']"
A novel time synchronization algorithm for underwater wireless sensor networks with mobility prediction,2017,IEEE International Conference Computer and Communications,"Yuhan Dong, Rui Wang, Zheng Li, Zhide Li, Kai Zhang","['Tsinghua University', 'Wireless sensor network', 'Underwater']"
Cloudified mobility and bandwidth prediction in virtualized LTE networks,2017,Integrated Network Management,"Zhongliang Zhao1, Morteza Karimzadeh2, Torsten Braun1, Aiko Pras2, Hans van den Berg2","['2University of Twente', 'Software deployment', 'Software']"
Prediction of a new phosphorus allotrope with tunable direct band gap and high mobility,2018,Bulletin of the American Physical Society,"Woo Hyun Han, Sunghyun Kim, In-Ho Lee, Kee Joo Chang","['Molecular physics', 'Materials science', '+1']"
A novel deep learning driven low-cost mobility prediction approach for 5G cellular networks: The case of the Control/Data Separation Architecture (CDSA),2019,Neurocomputing,"Metin Ozturk, Mandar Gogate, Oluwakayode Onireti, Ahsan Adeel, Amir Hussain","['Wireless', 'Quality of service', 'Mathematics']"
Performance analysis of mobility prediction based proactive wireless caching,2018,Wireless Communications and Networking Conference,"Yu Ye1, Ming Xiao1, Zhengquan Zhang2, Zheng Ma1","['2Southwest Jiaotong University', 'Wireless', 'Residence time']"
Analyzing D2D mobility: Framework for steady communications and outage periods prediction,2017,International Conference on Telecommunications,"Sergey Fedorov1, Anastasia Ivchenko1, Yuri Orlov1, Andrey Samuilov2, Aleksandr Ometov2","['1Keldysh Institute of Applied Mathematics,', '2Tampere University of Technology', 'Stochastic process']"
Handover Algorithm based VLP using Mobility Prediction Database for Vehicular Network,2018,International Journal of Electrical and Computer Engineering,"Arfah A. Hasbollah1, Sharifah H. S. Ariffin2, Nurzal E. Ghazali2, K. Mohamad Yusuf2, Hiroaki Morino3","['2Universiti Teknologi Malaysia,', '3Shibaura Institute Technology', 'Resource allocation']"
A Systematic Analysis of Fine-Grained Human Mobility Prediction with On-Device Contextual Data.,2019,arXiv: Social and Information Networks,Huoran Li,"['Trajectory', 'Recurrent neural network', 'Predictability']"
"Prediction of Metal Mobility from Sulfidic Waste Rocks Using Micro-analytical Tools, Baal Gammon, Northern Australia",2017,Arxiv,"Nathan Fox1, Anita Parbhakar-Fox1, Bernd Georg Lottermoser2","['2RWTH Aachen University', 'Stannite', 'Sphalerite']"
An improved method for mobility prediction using a Markov model and density estimation,2018,Wireless Communications and Networking Conference,"Leonhard Menz1, Roland Herberth2, Chunbo Luo1, Frank Gauterin2, Ansgar Gerlicher3","['1University of Exeter,', '2Karlsruhe Institute of Technology,', '3Stuttgart Media University']"
Neural Network Prediction of Reduced Ion Mobility of Chemical Compound Based on Molecular Structure,2006,International Joint Conference on Neural Network,"Tuan A. Duong, De-Ling Liu, Isik Kanik","['Molecule', 'Metric tensor', 'Machine learning']"
Mobility Prediction Empowered Proactive Energy Saving Framework for 5G Ultra-Dense HetNets,2018,Global Communications Conference,"Hasan Farooq, Ahmad Asghar, Ali Imran","['Distributed computing', 'Computer science', 'Computer network']"
Energy Efficient Small-Cell Discovery Using Users' Mobility Prediction,2015,"Ad-Hoc, Mobile and Wireless Networks","Apollinaire Nadembega1, Abdelhakim Hafid1, Ronald Brisebois2","['2BIBLIOMONDO, Montreal, Canada', 'Wireless network', 'User equipment']"
BiPred: A Bilevel Evolutionary Algorithm for Prediction in Smart Mobility,2018,Sensors,"Jamal Toutouh, Javier Arellano-Verdejo, Enrique Alba","['Evolutionary algorithm', 'Engineering', '+1']"
Optimal Access Points Selection Based on Mobility Prediction in Heterogeneous Small Cell Networks,2018,International Conference on Communications,"Wenbin Fu, Xi Li, Hong Ji, Heli Zhang","['Trajectory', 'Throughput', 'Small cell']"
Data-driven mobility risk prediction for planetary rovers: SKONIECZNY et al.,2019,Journal of Field Robotics,"Krzysztof Skonieczny1, Dhara K. Shukla1, Michele Faragalli2, Matthew Cole2, Karl D. Iagnemma3","['2Mission Control Space Services Inc.; Ottawa Ontario Canada,', '3Department of Mechanical Engineering; Massachusetts Intitute of Technology; Cambridge Massachusetts', 'Simulation']"
"Prediction of Metal Mobility from Sulfidic Waste Rocks Using Micro-Analytical Tools, Spray, Tasmania",2017,Arxiv,"Nathan Fox1, Anita Parbhakar-Fox1, Bernd Georg Lottermoser2","['2RWTH Aachen University', 'Sulfide minerals', 'Sphalerite']"
A Mobility Prediction and Delay Prediction Routing Protocol for UAV Networks,2018,International Conference on Wireless Communications and Signal Processing,"Min Song, Jing Liu, Shixin Yang","['Routing protocol', 'Real-time computing', 'Queuing delay']"
Mobility Prediction in Vehicular Networks: An Approach Through Hybrid Neural Networks Under Uncertainty,2017,Arxiv,"Soumya Banerjee1, Samia Bouzefrane2, Paul MÃ_hlethaler3","['2Conservatoire national des arts et mÃ©tiers,', '3French Institute for Research in Computer Science and Automation', 'Vehicular ad hoc network']"
Vision Paper: Using Volunteered Geographic Information to Improve Mobility Prediction,2017,Arxiv,Dominik Bucher,"['Volunteered geographic information', 'Point of interest', 'Mobility model']"
Mobility Prediction-Based Autonomous Proactive Energy Saving (AURORA) Framework for Emerging Ultra-Dense Networks,2018,Arxiv,"Hasan Farooq, Ahmad Asghar, Ali Imran","['Real-time computing', 'Quality of service', 'Latency (engineering)']"
Artificial Neural Networks in WSNs design: Mobility prediction for barrier coverage,2016,International Symposium on Signal Processing and Information Technology,Zhilbert Tafa,"['Wireless sensor network', 'Test data', 'Predictability']"
Discovering urban mobility patterns with PageRank based traffic modeling and prediction,2017,Physica A-statistical Mechanics and Its Applications,"Minjie Wang, Su Yang, Yi Sun, Jun Gao","['Trajectory', 'Traffic congestion', 'Quantum mechanics']"
Prediction of gas-phase reduced ion mobility constants (K0) from three-dimensional molecular structure representation,2012,Canadian Journal of Chemistry,"Jing Song, Ying Zhang, Hui Hu, Hui Zhang, Lin Lin","['Test set', 'Square (algebra)', 'Quantitative structureâ€“activity relationship']"
Analysis and Prediction of Mobility Development Patterns in China,2015,Arxiv,"Huapu Lu, He Ma, Wenbo Kuang","['Regression analysis', 'Geography', '+5']"
Theoretical prediction on the charge carrier mobility in 2D Phosphorous sheets,2015,Arxiv,"Xiaojiao Zhang, Jun Ouyang, Yongli Gao, Hui Xu, Mengqiu Long","['Molecular physics', 'Materials science', 'Computational chemistry']"
Performance and reliability of empirical mobility relationships for the prediction of Debris Flow inundated areas,2010,Arxiv,"Alessandro Simoni, Matteo Berti, Maria Mammoliti","['Indexation', 'Hydrology', 'Hazard analysis']"
Energy aware mobility prediction in wireless sensor networks,2015,Arxiv,"Sibashrit Pattnaik, Arunanshu Mahapatro","['Wireless sensor network', 'Wireless ad hoc network', 'Routing protocol']"
Mining Pattern Similarity for Mobility Prediction in Location-based Social Networks,2018,International Conference on Mobile and Ubiquitous Systems: Networking and Services,Carmela Comito,"['Trajectory', 'Supervised learning', 'Social network']"
Mobility Modeling and Data-Driven Closed-Loop Prediction in Bike-Sharing Systems,2019,IEEE Transactions on Intelligent Transportation Systems,"Zidong Yang, Jiming Chen, Ji Hu, Yuanchao Shu, Peng Cheng","['Engineering', 'Data-driven', 'CITE']"
Localized broadcast oriented protocols with mobility prediction for mobile ad hoc networks,2006,Lecture Notes in Computer Science,"Hui Xu, Manwoo Jeon, Shu Lei, Jinsung Cho, Sungyoung Lee","['Spanning tree', 'Model predictive control', '+7']"
Urban Traffic Prediction from Mobility Data Using Deep Learning,2018,IEEE Network,"Zhidan Liu, Zhenjiang Li, Kaishun Wu, Mo Li","['Machine learning', 'Feature learning', '+7']"
A geo-temporal mobility prediction method for cooperative time-validity-constrained content delivery in opportunistic networks,2018,Computer Networks,"Chun-Chih Lo1, Yau-Hwang Kuo2","['2National Cheng Kung University', 'Relay', 'Probabilistic logic']"
Efficient Handover in LTE-A by Using Mobility Pattern History and User Trajectory Prediction,2018,Arabian Journal for Science and Engineering,"Rami Ahmad, Elankovan A Sundararajan, Nor Effendy Othman, Mahamod Ismail","['Wireless network', 'Throughput', 'Packet loss']"
Delay prediction approach for cyclic mobility models in Ad hoc networks,2015,Ubiquitous Computing Systems,"Jihen Bokri1, Sofiane Ouni1, Leila Saidane2","['2Manouba University', 'Wireless ad hoc network', 'Optimized Link State Routing Protocol']"
A Mobility Prediction Based Beacon Rate Adaptation Scheme in VANETs,2018,International Symposium on Computers and Communications,"Fei Li1, Chuanhe Huang2","['2Collaborative Innovation Center of Geospatial Technology, Wuhan, China', 'Wireless ad hoc network', 'Noise measurement']"
Prediction and Modeling of Atomic Mobility in Alloys,2009,Bulletin of the American Physical Society,Zi-Kui Liu,"['Physics', 'Phenomenological model', '+2']"
A novel mobility prediction scheme for outdoor crowded scenario using Fuzzy C-means,2017,"Personal, Indoor and Mobile Radio Communications","Pengbo Yang, Xi Li, Hong Ji, Heli Zhang","['Software deployment', 'Resource allocation', 'Real-time computing']"
Mobility Prediction-Based Link Stability Routing Protocol for MANET,2014,Applied Mechanics and Materials,"X.M. Gao, J.H. Xia","['Routing protocol', 'Optimized Link State Routing Protocol', 'Network packet']"
Position prediction system based on spatio-temporal regularity of object mobility,2018,Information Systems,"Xin Li, Chongsheng Yu, Lei Ju, Jian Qin, Yu Zhang","['Shandong University', 'Trajectory', 'Pattern recognition']"
Mobility Prediction-Based Wireless Resource Allocation and Reservation,2004,Lecture Notes in Computer Science,"Xiaolong Yang, Qianbin Chen, Youju Mao, Keping Long, Bin Ma","['Wireless network', 'Time complexity', 'Simulation']"
A Review of Mobility Prediction Models Applied in Cloud/Fog Environments,2018,European Conference on Parallel Processing,"David H. S. Lima1, AndrÃ© L. L. de Aquino2, MarÃ_lia Curado1","['2Federal University of Alagoas', 'Predictive modelling', 'Latency (engineering)']"
Prediction of analytes' electrophoretic mobility in mixed solvent buffers using Abraham solvation parameters,2015,Analytical Methods,"A. Jouyban1, R. Fazeli-Bakhtiyari2, A. Shayanfar1, W. E. Acree3","['2University of Tabriz,', '3University of North Texas', 'Solvent']"
Mobility tracking and prediction for wireless infrared LANs,1999,Arxiv,"Tong Liu1, Jeffrey Carruthers1, Imrich Chlamtac2","['2University of Texas at Dallas', 'Throughput', 'Shadow']"
Femtocells sharing management using mobility prediction model,2013,Modeling Analysis and Simulation of Wireless and Mobile Systems,"Dominique Barth1, Amira Choutri1, LeÃ¯la Kloul1, Olivier MarcÃ©2","['2Alcatel-Lucent', 'Reinforcement learning', 'Randomness']"
Large-Scale Traffic Flow Prediction Using Deep Learning in the Context of Smart Mobility,2018,Arxiv,Arief Koesdwiady,"['Smart city', 'Simulation', '+3']"
A Mobility Prediction-Based Weighted Clustering Algorithm for Vehicular Ad-Hoc Network,2014,Computer and Information Technology,"Shou Jie Li1, Qiong Huang2, Ning Gao1, Lun Tang1","['2Chong Qing University of Post and Telecommunications', 'Vehicular ad hoc network', 'Network topology']"
